County,Cases,Hospitalization,Deaths,"Cases/100,000Population","Deaths/100,000Population",PopulationDensity
Appling,1717,142,50,9250.58,269.38,14.01828756
Atkinson,745,108,15,8943.58,180.07,9.311240898
Bacon,1002,73,25,8786.39,219.22,15.26007768
Baker,151,31,6,4845.96,192.55,3.600682675
Baldwin,3542,273,90,7972.45,202.57,67.58826619
Banks,1467,170,28,7341.61,140.13,30.7975219
Barrow,7447,500,100,8620.91,115.76,184.3449202
Bartow,9206,605,159,8310.84,143.54,87.06431394
Ben Hill,1434,143,50,8615.2,300.39,26.47984793
Berrien,961,63,25,4985.47,129.69,16.20197066
Bibb,11965,1482,307,7863.95,201.77,237.62306690000003
Bleckley,756,45,32,5888.77,249.26,22.84919033
Brantley,810,61,22,4218.31,114.57,16.17660577
Brooks,875,81,33,5563.68,209.83,12.23231715
Bryan,2236,146,23,5713.26,58.77,31.66554713
Bulloch,4704,184,46,5919.44,57.89,42.71567016
Burke,1576,131,27,7053.98,120.85,10.52749269
Butts,1836,105,61,7293.24,242.31,49.92067542
Calhoun,424,67,12,6712.05,189.96,8.851659627
Camden,2840,111,24,5266.67,44.51,32.29088126
Candler,702,54,31,6477.81,286.06,17.19879927
Carroll,6547,276,114,5450.43,94.91,89.76724683
Catoosa,4648,191,51,6758.66,74.16,157.855196
Charlton,981,53,15,7403.21,113.2,6.425905488
Chatham,16882,1324,299,5778.02,102.34,255.8861832
Chattahoochee,2469,20,3,22969.58,27.91,16.71307246
Chattooga,1981,135,53,7998.87,214.0,30.5811718
Cherokee,18417,1045,206,6907.66,77.26,221.8137088
Clarke,11306,403,94,8711.73,72.43,403.5373333
Clay,172,9,3,6024.52,105.08,5.92972984
Clayton,18253,1124,308,5987.77,101.04,759.4524647999999
Clinch,678,59,20,10186.3,300.48,3.194479252
Cobb,51668,2608,723,6535.39,91.45,846.6897774
Coffee,4011,584,102,9318.8,236.98,28.005069399999996
Colquitt,3083,208,56,6791.8,123.37,32.18979963
Columbia,9843,385,125,6204.97,78.8,196.05527859999998
Cook,1103,102,33,6325.63,189.25,29.06445414
Coweta,7292,249,114,4797.34,75.0,123.0428652
Crawford,473,58,10,3868.17,81.78,14.66866007
Crisp,1276,140,36,5724.8,161.51,32.35111079
Dade,994,47,8,6150.23,49.5,36.01155909
Dawson,2408,209,29,8911.59,107.32,43.69808396
DeKalb,47755,3792,630,6020.9,79.43,1071.792083
Decatur,1992,130,47,7567.81,178.56,17.34890996
Dodge,1043,100,52,5116.51,255.09,16.28549963
Dooly,703,77,26,5246.27,194.03,13.67379756
Dougherty,5033,891,247,5598.13,274.73,106.9675386
Douglas,9919,663,132,6529.7,86.9,273.6920768
Early,919,65,40,9057.76,394.24,7.794360252000001
Echols,346,11,2,8717.56,50.39,3.668091972
Effingham,3206,204,47,5007.34,73.41,47.32731502
Elbert,1422,109,37,7505.94,195.3,21.12744236
Emanuel,1640,113,51,7236.15,225.03,12.76414276
Evans,685,65,10,6409.66,93.57,22.64537743
Fannin,1836,152,47,6975.68,178.57,24.86526439
Fayette,5284,201,106,4495.34,90.18,221.22478619999998
Floyd,8734,684,142,8741.34,142.12,73.32737900000001
Forsyth,14650,827,115,5801.82,45.54,378.06996339999995
Franklin,2150,135,31,9216.0,132.88,33.23399178
Fulton,69491,3830,927,6322.07,84.34,749.0585218
Gilmer,2216,172,49,7053.51,155.97,27.10603808
Glascock,132,19,4,4363.64,132.23,8.082208149
Glynn,5929,405,137,6890.42,159.22,77.27916697
Gordon,5352,259,81,9219.8,139.54,61.62118087
Grady,1423,151,41,5798.7,167.07,21.17483154
Greene,1311,106,36,7004.33,192.34,16.90816692
Gwinnett,75268,4606,754,7750.44,77.64,809.1434092999999
Habersham,4410,438,123,9628.82,268.56,61.77157867
Hall,22895,2105,327,11095.28,158.47,192.52935280000003
Hancock,761,91,53,9288.42,646.89,6.995568867999999
Haralson,1515,56,28,4931.32,91.14,39.6220831
Harris,1830,129,40,5271.95,115.23,27.95999603
Hart,1567,105,32,6002.22,122.57,42.57866856
Heard,546,35,12,4413.9,97.01,15.23138636
Henry,15731,439,204,6558.25,85.05,268.1545574
Houston,8804,593,146,5606.25,92.97,155.7337104
Irwin,648,74,15,6869.5,159.02,10.09811305
Jackson,7562,410,102,10123.16,136.55,74.74438404
Jasper,576,48,13,4056.62,91.56,14.44602729
Jeff Davis,1173,92,33,7743.6,217.85,17.49091774
Jefferson,1456,137,49,9508.26,319.99,11.56507965
Jenkins,682,77,36,7952.43,419.78,9.812495124
Johnson,727,91,34,7525.1,351.93,12.39782262
Jones,1418,118,30,4959.6,104.93,27.98010351
Lamar,1169,81,33,6042.28,170.57,38.95305074
Lanier,456,25,7,4405.37,67.63,20.36437069
Laurens,3450,318,128,7294.49,270.64,22.6783855
Lee,1483,158,40,4948.12,133.46,31.84009173
Liberty,2486,186,40,4015.9,64.62,46.43059823
Lincoln,456,43,16,5612.31,196.92,14.31311751
Long,586,44,9,2942.51,45.19,17.50796876
Lowndes,6958,316,118,5902.71,100.1,88.98728352
Lumpkin,2553,253,48,7552.81,142.0,43.60027534
Macon,540,69,18,4157.68,138.59,12.99014252
Madison,2409,116,29,7982.9,96.1,39.52268532
Marion,348,29,10,4196.31,120.58,8.949561099999999
McDuffie,1482,130,31,6862.06,143.54,32.23819688
McIntosh,549,48,10,3768.79,68.65,12.63872337
Meriwether,1293,114,31,6151.28,147.48,16.26375695
Miller,584,30,4,10131.85,69.4,7.978434865
Mitchell,1422,212,68,6447.23,308.31,16.91088273
Monroe,1658,158,74,5979.73,266.89,26.32880923
Montgomery,675,39,19,7317.87,205.98,14.46771444
Morgan,1046,66,10,5465.57,52.25,20.26622642
Murray,3649,202,52,9063.36,129.16,44.33472499
Muscogee,11939,911,266,6230.37,138.81,350.8393599
Newton,6376,503,161,5674.92,143.3,150.205821
Oconee,2549,112,50,6107.29,119.8,77.53671083
Oglethorpe,1050,65,17,6889.76,111.55,13.00073608
Paulding,8885,276,133,5149.47,77.08,192.67292030000002
Peach,1613,179,38,5892.24,138.81,69.28779256
Pickens,2158,156,40,6436.03,119.3,51.29878159
Pierce,1122,116,34,5740.6,173.96,21.73383004
Pike,912,59,19,4835.63,100.74,32.30892798
Polk,3500,308,62,8049.31,142.59,51.78338682
Pulaski,542,49,26,4975.67,238.69,17.49578798
Putnam,1551,123,42,7087.05,191.91,24.08701172
Quitman,73,9,1,3182.21,43.59,5.810523669
Rabun,1368,141,33,8053.69,194.28,17.16668982
Randolph,428,72,30,6336.99,444.18,6.389714552999999
Richmond,17276,1124,301,8542.33,148.83,239.8436152
Rockdale,5028,655,103,5294.86,108.47,264.7460085
Schley,185,18,2,3507.11,37.91,12.05448566
Screven,724,58,15,5208.63,107.91,8.364521574
Seminole,687,56,14,8439.8,171.99,13.71390191
Spalding,3364,355,111,4867.6,160.61,127.5010942
Stephens,2734,231,67,10384.38,254.48,55.33657684
Stewart,671,120,20,10947.95,326.32,5.085203438
Sumter,1699,246,81,5779.11,275.52,24.26936641
Talbot,341,34,13,5537.51,211.11,6.292033252
Taliaferro,93,8,0,5698.53,0.0,3.303368003
Tattnall,1683,102,33,6623.12,129.87,20.35864747
Taylor,455,64,19,5717.52,238.75,8.397803352
Telfair,674,62,39,4308.36,249.3,14.22805918
Terrell,511,101,36,6035.2,425.18,10.18791475
Thomas,3284,294,93,7391.24,209.31,31.7114458
Tift,3292,392,88,8062.7,215.53,59.94980729
Toombs,2668,155,78,9887.71,289.07,28.68971257
Towns,917,112,32,7620.08,265.91,26.48100906
Treutlen,577,47,19,8449.26,278.23,13.12026026
Troup,5229,428,150,7426.08,213.03,65.07102644
Turner,570,80,27,7057.95,334.32,10.77078095
Twiggs,469,81,24,5800.15,296.81,8.902957893
Union,1804,172,59,7120.58,232.88,27.30169352
Upson,1615,143,88,6146.06,334.89,31.29241612
Walker,5275,216,67,7577.93,96.25,59.52885189
Walton,6823,396,161,7121.09,168.03,106.49104479999998
Ware,2756,300,110,7686.94,306.81,15.28610844
Warren,346,42,8,6641.07,153.55,7.258817371
Washington,1507,99,39,7422.91,192.1,11.64315277
Wayne,2373,229,62,7916.86,206.85,17.90377435
Webster,90,12,3,3529.41,117.65,4.818979543
Wheeler,444,33,20,5613.86,252.88,10.3735147
White,2723,264,55,8574.22,173.18,46.39448436
Whitfield,13628,660,169,13019.72,161.46,138.0549123
Wilcox,434,66,26,4937.43,295.79,9.04013343
Wilkes,611,61,15,6101.46,149.79,8.128280055
Wilkinson,665,108,21,7455.99,235.45,7.802589675
Worth,1106,155,49,5491.01,243.27,13.97434093
